Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Relative Effort,Commute,Activity Gear,Filename
1163234100,"1 Sep 2017, 13:36:01",Afternoon Ride,Ride,,16232,93.87,140,false,,activities/1268566930.fit.gz
1164896315,"2 Sep 2017, 05:23:22","Alps Day 2. Albertville - Alpe D'Huez. Col De Madeleine, Col De Glandon and the Mighty Huez. Tough tough day!",Ride,"",45091,138.96,344,false,,activities/1270251587.fit.gz
1165496752,"3 Sep 2017, 06:39:42",The start of todays ride,Ride,"",1675,7.44,5,false,,activities/1270867136.fit.gz
1166424536,"3 Sep 2017, 07:11:41",Alps day 3. Alpe D'Huez to Villard De Lans,Ride,"",28299,121.01,69,false,,activities/1271812943.fit.gz
1167554161,"4 Sep 2017, 06:15:42",Morning Ride,Ride,,14268,56.30,39,false,,activities/1272951854.fit.gz
1168207708,"4 Sep 2017, 13:27:01",Day 4 of the Alps Challenge. The ride split into 2 bits. Blow out on  the descent from the Col Du La Machine. Great support from the team and off I went again on Tony Lowe's wheel. (My wheel was Knackered).,Ride,"",14815,67.75,53,false,,activities/1273614028.fit.gz
1169549162,"5 Sep 2017, 05:54:30",Morning Ride,Ride,"",34357,146.79,91,false,,activities/1274970823.fit.gz
1171354003,"6 Sep 2017, 05:40:47",Ventoux plus!,Ride,"",42574,140.66,98,false,,activities/1276799523.fit.gz
1173644716,"7 Sep 2017, 06:55:18",Sault to St Didier. Through Gorge De Nesque,Ride,"",21618,95.99,62,false,,activities/1279117848.fit.gz
1173860321,"8 Sep 2017, 07:07:35",Does anyone want to buy a bike? Challenge over!,Ride,"",11902,77.41,35,false,,activities/1279337126.fit.gz
1187869510,"17 Sep 2017, 09:11:32",Morning Run,Run,,3390,9.70,55,false,,activities/1293549352.fit.gz
1193346064,"20 Sep 2017, 16:33:35",Afternoon Run,Run,,4396,12.30,31,false,,activities/1299110497.fit.gz
1197167032,"23 Sep 2017, 09:17:11",Morning walk,Run,"",2770,3.79,4,false,,activities/1302989757.fit.gz
1197730482,"23 Sep 2017, 14:34:44",Afternoon Run,Run,,2018,5.20,13,false,,activities/1303564652.fit.gz
1199060251,"24 Sep 2017, 09:00:46",My house to th Last Drop. Via Anglezarke and Sheephouse. No idea where Strava got its mileage etc from!,Ride,"",6969,18.53,,false,,activities/1199060251.gpx
1217687497,"27 Sep 2017, 13:44:04",Afternoon Ride,Ride,"",777251,33.81,44,false,,activities/1323767281.fit.gz
1218978255,"7 Oct 2017, 11:18:43",Walk,Run,"",3020,3.22,4,false,,activities/1325077534.fit.gz
